fid,OBJECTID,OBJECTID_1,STATION,LON,LAT,ALT,NAME,X,Y,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,NEAR_ANGLE
"1","1","1","210",4.419,52.165,"-0.20",VALKENBURG,88757.8452,464535.4678,"13",4985.70875054,85571.088,460701.166,-129.730579983
"2","2","2","215",4.437,52.141,"-1.20",VOORSCHOTEN,89954.4987,461848.7341,"13",4531.13693338,85571.088,460701.166,-165.329332028
"3","3","3","225",4.575,52.463,"4.40",IJMUIDEN,99802.2517,497559.6747,"10",7865.84517414,105897.09,502532.045,39.2087013154
"4","4","4","235",4.785,52.924,"0.50",DE KOOY,114500.8525,548715.5638,"8",11016.742022,119760.965,539035.697,-61.4800100406
"5","5","5","240",4.774,52.301,"-4.40",SCHIPHOL,113173.2663,479401.7801,"1",9240.59104894,118763,486760,52.7775736873
"6","6","6","242",4.942,53.255,"0.90",VLIELAND,125286.5054,585474.1519,"79",38058.9437862,163276,583176,-3.46185527518
"7","7","7","249",4.979,52.644,"-2.50",BERKHOUT,127371.5653,517467.5652,"7",10209.8607748,135987.61,522945.25,32.4463233863
"8","8","8","251",5.346,53.393,"0.50",HOORN (TERSCHELLING),152258.5068,600741.8927,"79",20735.1330538,163276,583176,-57.903676247
"9","9","9","257",4.603,52.506,"10.00",WIJK AAN ZEE,101756.9448,502322.8191,"10",4145.42853687,105897.09,502532.045,2.89303176139
"10","10","10","260",5.177,52.101,"2.00",DE BILT,140597.456,456993.503,"26",4674.75980951,135938.112,456614.171,-175.345633632
"11","11","11","265",5.274,52.13,"13.90",SOESTERBERG,147248.6476,460205.1472,"26",11866.9004221,135938.112,456614.171,-162.38590364
"12","12","12","267",5.384,52.896,"2.60",STAVOREN,154784.1439,545431.1759,"78",19541.2595065,165849,561538,55.5122205779
"13","13","13","269",5.526,52.458,"-4.00",LELYSTAD,164434.1195,496702.6211,"73",13717.6922377,176651,502941.444,27.0521438603
"14","14","14","270",5.755,53.225,"1.50",LEEUWARDEN,179564.0561,582106.577,"80",5127.82261781,183156,578447,-45.5343677392
"15","15","15","273",5.889,52.703,"-3.10",MARKNESSE,188917.055,524072.7217,"74",9625.92274837,195836,530765,44.0459457862
"16","16","16","275",5.888,52.061,"50.00",DEELEN,189343.6219,452641.2355,"59",11596.3315307,187699.556,441162.039,-98.1505509069
"17","17","17","277",6.196,53.409,"3.00",LAUWERSOOG,208786.5571,602824.1012,"89",17885.292684,216221.015,586557.186,-65.4382075838
"18","18","18","278",6.263,52.437,"4.00",HEINO,214554.4737,494717.5435,"72",9878.557269,206891,488484,-140.874760811
"19","19","19","279",6.575,52.75,"15.60",HOOGEVEEN,235197.7051,529844.0453,"70",7215.07820386,228462,527258,-158.996661168
"20","20","20","280",6.586,53.125,"3.50",EELDE,235246.8013,571582.2788,"84",10647.8897096,224704,570090,-171.943598494
"21","21","21","283",6.65,52.073,"29.00",HUPSEL,241574.7285,454611.0175,"62",4683.1054369,241917.661,449940.485,-85.8006096849
"22","22","22","286",7.15,53.196,"0.20",NIEUW BEERTA,272802.933,580257.6734,"87",10528.521701,263344,575634,-153.949896875
"23","23","23","290",6.897,52.273,"34.50",TWENTHE,258043.8249,477183.1555,"66",3460.98031281,255033,478890,150.450985973
"24","24","24","310",3.596,51.442,"8.00",VLISSINGEN,30475.2674,385185.5229,"34",10110.2452257,36354.303,393410.728,54.4443875855
"25","25","25","319",3.862,51.226,"1.40",WESTDORPE,48463.361,360738.2567,"36",6638.29851195,46784.523,367160.757,104.649295632
"26","26","26","323",3.884,51.527,"1.40",WILHELMINADORP,50689.969,394188.3243,"35",2644.52426048,51120.01,391579,-80.6412500546
"27","27","27","330",4.124,51.993,"12.50",HOEK VAN HOLLAND,68243.075,445711.2041,"17",13943.6024531,82152.248,446690.467,4.0272129998
"28","28","28","340",4.349,51.448,"14.90",WOENSDRECHT,82829.8639,384837.4679,"37",6915.91282424,78501.342,390231.33,128.746704129
"29","29","29","344",4.444,51.955,"-4.80",ROTTERDAM,90164.7418,441149.8514,"21",4759.32795869,92374.375,436934.555,-62.3367401064
"30","30","30","348",4.927,51.972,"-0.70",CABAUW,123377.2719,442720.4077,"25",8906.10416614,130050,448619,41.4762033727
"31","31","31","350",4.933,51.568,"11.10",GILZE-RIJEN,123509.0722,397771.7571,"42",2323.83332731,123361.045,400090.871,93.6521896412
"32","32","32","356",5.145,51.858,"0.90",HERWIJNEN,138314.9703,429965.2424,"32",5493.50479367,143183,432511,27.607516062
"33","33","33","370",5.414,51.446,"20.30",EINDHOVEN,156863.2124,384101.1081,"47",3652.56039481,159646.897,386465.912,40.3486640137
"34","34","34","375",5.706,51.657,"21.10",VOLKEL,177059.7562,407623.7236,"45",4168.32723988,172920.613,407131.336,-173.216042066
"35","35","35","377",5.764,51.197,"30.00",ELL,181338.0051,356467.6573,"51",3223.39462477,184476.4,355732.3,-13.1870802047
"36","36","36","380",5.768,50.91,"114.00",MAASTRICHT,181783.8184,324540.627,"54",10183.0358985,190653.9,319539.04,-29.4174160981
"37","37","37","391",6.196,51.498,"19.00",ARCEN,211162.1745,390197.5657,"50",14289.0218501,206714.317,376618.438,-108.136262872
